Category,Date,Weight,Event,
history,7/1/2003,,dotLISP,
history,7/10/2004,Medium,Rich releases JFli,
history,2/24/2005,Medium,Rich releases Foil,
history,5/2/2005,,Rich registers Clojure sourceforge project,
history,3/24/2006,High,First Clojure commit,
technical,5/31/2006,,STM,x
technical,6/18/2007,,PersistentHashMap,x
technical,9/15/2007,Medium,conj,x
history,9/22/2007,High,Clojure released,
history,10/17/2007,Medium,First clojure mailing list post,
technical,10/20/2007,,Multimethods,
talk,11/13/2007,Medium,Rich talk about Clojure at LispNYC,
history,11/15/2007,,Stuart Sierra's first Clojure blog,
technical,12/3/2007,,Agents,
technical,2/12/2008,,regex literals,x
history,2/13/2008,,Chris Houser's first Clojure blog,x
history,7/15/2008,,Contributions enabled,
technical,7/21/2008,,namespaces = Java package,
history,7/30/2008,,Stu Halloway's first Clojure blog,
technical,8/28/2008,Medium,ns,x
technical,9/15/2008,,pmap,x
technical,12/1/2008,,Atoms,x
history,12/14/2008,Medium,Clojure uses EPL,
technical,1/1/2009,,watchers,x
technical,3/12/2009,,pprint,
technical,5/4/2009,High,Clojure 1.0.0,
books,5/27/2009,High,"""Programming Clojure"" by Stu Halloway published",
talks,7/30/2009,,"""Are We There Yet?"" at JVM Lang Summit",
technical,8/29/2009,,juxt,x
technical,9/22/2009,,->>,x
technical,11/11/2009,,Protocols,x
technical,12/31/2009,,Clojure 1.1.0,
books,6/6/2010,,"""Practical Clojure"" by Luke VanderHart & Stuart Sierra",
technical,8/19/2010,,Clojure 1.2.0,
technical,9/30/2010,,Modular Clojure contrib,
events,10/22/2010,High,"Conj 1 - Durham, NC",
technical,3/11/2011,,Clojure 1.2.1,
books,4/7/2011,,"""Joy of Clojure"" by Michael Fogus, Chris Houser published",
technical,4/28/2011,,core.logic,
technical,7/22/2011,,ClojureScript,
talks,9/20/2011,,"""Simple Made Easy"" at Strange Loop",
technical,9/23/2011,,Clojure 1.3.0,
history,10/24/2011,,John McCarthy dies,
events,11/10/2011,,"Conj 2 - Raleigh, NC",
technical,1/11/2012,,ClojureScript One,
technical,3/5/2012,,Datomic,
events,3/16/2012,,"Clojure/West 1 - San Jose, CA",
technical,4/15/2012,,Clojure 1.4.0,
technical,4/15/2012,,Reader literals,
technical,5/8/2012,Medium,Reducers,
events,5/21/2012,,"EuroClojure 1 - London, UK",
talks,5/21/2012,,"""The Value of Values""",
technical,9/7/2012,Medium,EDN,
events,11/15/2012,,"Conj 3 - Raleigh, NC",
talks,11/15/2012,,"""The Language of the System"" at the Conj",
technical,3/1/2013,,Clojure 1.5.0,
technical,3/10/2013,,Clojure 1.5.1,
events,3/18/2013,,"Clojure/West 2 - Portland, OR",
talks,3/18/2013,,"""Design, Composition, and Performance"" at Clojure/West",
technical,6/28/2013,High,core.async,
history,9/16/2013,High,Relevance + MDP = Cognitect,
events,10/14/2013,,"EuroClojure 2 - Berlin, Germany",
events,11/14/2013,,"Conj 4 - Alexandria, VA",
events,3/24/2014,,"Clojure/West 4 - San Francisco, CA",
technical,3/25/2014,,Clojure 1.6.0,
events,6/26/2014,,"EuroClojure 3 - Krakow, Poland",
technical,7/22/2014,Medium,Transit,
technical,8/6/2014,High,Transducers,
events,11/20/2014,,"Conj 5 - Washington, DC",
